stazione_id,data,inquinante,valore
6,2019/02/14,CO_8h,1.3
6,2019/02/14,C6H6,1.8
7,2019/02/14,PM10,38
7,2019/02/14,NO2,100
7,2019/02/14,O3,46
8,2019/02/14,NO2,
8,2019/02/14,CO_8h,
8,2019/02/14,C6H6,
1,2019/02/15,NO2,
3,2019/02/15,NO2,155
3,2019/02/15,CO_8h,1.9
4,2019/02/15,PM10,75
4,2019/02/15,NO2,196
4,2019/02/15,CO_8h,2.2
4,2019/02/15,C6H6,5.7
5,2019/02/15,NO2,
5,2019/02/15,O3,
2,2019/02/15,SO2,7
2,2019/02/15,PM10,62
2,2019/02/15,PM25,45
2,2019/02/15,NO2,117
2,2019/02/15,O3,48
2,2019/02/15,C6H6,4
6,2019/02/15,PM10,69
6,2019/02/15,PM25,45
6,2019/02/15,NO2,124
6,2019/02/15,CO_8h,1.9
6,2019/02/15,C6H6,3.6
7,2019/02/15,PM10,52
7,2019/02/15,NO2,126
7,2019/02/15,O3,41
8,2019/02/15,NO2,
8,2019/02/15,CO_8h,
8,2019/02/15,C6H6,
1,2019/02/18,NO2,
3,2019/02/18,NO2,115
3,2019/02/18,CO_8h,1.6
4,2019/02/18,PM10,97
4,2019/02/18,NO2,155
4,2019/02/18,CO_8h,2.6
4,2019/02/18,C6H6,5.3
5,2019/02/18,NO2,
5,2019/02/18,O3,
2,2019/02/18,SO2,6
2,2019/02/18,PM10,90
2,2019/02/18,PM25,71
2,2019/02/18,NO2,124
2,2019/02/18,O3,72
2,2019/02/18,C6H6,4.3
6,2019/02/18,PM10,96
6,2019/02/18,PM25,71
6,2019/02/18,NO2,97
6,2019/02/18,CO_8h,2.2
6,2019/02/18,C6H6,3.6
7,2019/02/18,PM10,
7,2019/02/18,NO2,145
7,2019/02/18,O3,64
8,2019/02/18,NO2,
8,2019/02/18,CO_8h,
8,2019/02/18,C6H6,
1,2019/02/19,NO2,
3,2019/02/19,NO2,110
3,2019/02/19,CO_8h,1.5
4,2019/02/19,PM10,92
4,2019/02/19,NO2,165
4,2019/02/19,CO_8h,2.3
4,2019/02/19,C6H6,3.9
5,2019/02/19,NO2,
5,2019/02/19,O3,
2,2019/02/19,SO2,5
2,2019/02/19,PM10,48
2,2019/02/19,PM25,35
2,2019/02/19,NO2,105
2,2019/02/19,O3,81
2,2019/02/19,C6H6,1.9
6,2019/02/19,PM10,60
6,2019/02/19,PM25,41
6,2019/02/19,NO2,81
6,2019/02/19,CO_8h,1.8
6,2019/02/19,C6H6,2.1
7,2019/02/19,PM10,
7,2019/02/19,NO2,97
7,2019/02/19,O3,72
8,2019/02/19,NO2,
8,2019/02/19,CO_8h,
8,2019/02/19,C6H6,
1,2019/02/20,NO2,
3,2019/02/20,NO2,99
3,2019/02/20,CO_8h,
4,2019/02/20,PM10,39
4,2019/02/20,NO2,141
4,2019/02/20,CO_8h,1.4
4,2019/02/20,C6H6,2.6
5,2019/02/20,NO2,
5,2019/02/20,O3,
2,2019/02/20,SO2,2.5
2,2019/02/20,PM10,27
2,2019/02/20,PM25,19
2,2019/02/20,NO2,76
2,2019/02/20,O3,80
2,2019/02/20,C6H6,1.2
6,2019/02/20,PM10,34
6,2019/02/20,PM25,21
6,2019/02/20,NO2,67
6,2019/02/20,CO_8h,1.4
6,2019/02/20,C6H6,1.4
7,2019/02/20,PM10,
7,2019/02/20,NO2,76
7,2019/02/20,O3,71
8,2019/02/20,NO2,
8,2019/02/20,CO_8h,
8,2019/02/20,C6H6,
1,2019/02/21,NO2,
3,2019/02/21,NO2,79
3,2019/02/21,CO_8h,1
4,2019/02/21,PM10,77
4,2019/02/21,NO2,130
4,2019/02/21,CO_8h,1.6
4,2019/02/21,C6H6,3.8
5,2019/02/21,NO2,
5,2019/02/21,O3,
2,2019/02/21,SO2,2.5
2,2019/02/21,PM10,66
2,2019/02/21,PM25,51
2,2019/02/21,NO2,80
2,2019/02/21,O3,44
2,2019/02/21,C6H6,2.5
6,2019/02/21,PM10,72
6,2019/02/21,PM25,53
6,2019/02/21,NO2,72
6,2019/02/21,CO_8h,1.7
6,2019/02/21,C6H6,2.3
7,2019/02/21,PM10,64
7,2019/02/21,NO2,96
7,2019/02/21,O3,42
8,2019/02/21,NO2,
8,2019/02/21,CO_8h,
8,2019/02/21,C6H6,
1,2019/02/25,NO2,
3,2019/02/25,NO2,77
3,2019/02/25,CO_8h,0.9
4,2019/02/25,PM10,39
4,2019/02/25,NO2,95
4,2019/02/25,CO_8h,1.3
4,2019/02/25,C6H6,2.1
5,2019/02/25,NO2,
5,2019/02/25,O3,
2,2019/02/25,SO2,2.5
2,2019/02/25,PM10,31
2,2019/02/25,PM25,23
2,2019/02/25,NO2,88
2,2019/02/25,O3,66
2,2019/02/25,C6H6,1.5
6,2019/02/25,PM10,33
6,2019/02/25,PM25,21
6,2019/02/25,NO2,59
6,2019/02/25,CO_8h,1.3
6,2019/02/25,C6H6,1.3
7,2019/02/25,PM10,28
7,2019/02/25,NO2,75
7,2019/02/25,O3,59
8,2019/02/25,NO2,
8,2019/02/25,CO_8h,
8,2019/02/25,C6H6,
1,2019/02/26,NO2,
3,2019/02/26,NO2,124
3,2019/02/26,CO_8h,1.4
4,2019/02/26,PM10,70
4,2019/02/26,NO2,124
4,2019/02/26,CO_8h,1.6
4,2019/02/26,C6H6,3.3
5,2019/02/26,NO2,
5,2019/02/26,O3,
2,2019/02/26,SO2,7
2,2019/02/26,PM10,68
2,2019/02/26,PM25,49
2,2019/02/26,NO2,128
2,2019/02/26,O3,63
2,2019/02/26,C6H6,3
6,2019/02/26,PM10,75
6,2019/02/26,PM25,48
6,2019/02/26,NO2,114
6,2019/02/26,CO_8h,2.2
6,2019/02/26,C6H6,3.2
7,2019/02/26,PM10,56
7,2019/02/26,NO2,132
